Powiat/Miasto_na_prawach_powiatu 2014 2015 2016 2017
bytowski 906 900 828 812
chojnicki 1089 1034 1026 1004
cz³uchowski 623 589 586 554
gdañski 1006 1024 1089 1030
kartuski 1504 1504 1508 1455
koœcierski 831 804 761 806
kwidzyñski 845 854 806 770
lêborski 751 713 686 672
Gdañsk 3524 3494 3332 3552
Gdynia 2085 1997 2043 1905
S³upsk 833 835 773 806
Sopot 208 206 190 224
malborski 661 720 662 605
nowodworski 362 369 304 326
pucki 815 801 819 800
s³upski 899 869 886 829
starogardzki 1449 1253 1281 1274
sztumski 441 379 368 345
tczewski 1163 1157 1085 1188
wejherowski 2307 2199 2199 2272
